Uniform SKU,length_cm,width_cm,height_cm,11/21/2024,11/22/2024,11/23/2024,11/24/2024,11/25/2024,11/26/2024,11/27/2024,11/28/2024,11/29/2024,11/30/2024,12/1/2024,12/2/2024,12/3/2024,12/4/2024,12/5/2024,12/6/2024,12/7/2024,12/8/2024,12/9/2024,12/10/2024,12/11/2024,12/12/2024,12/13/2024,12/14/2024,12/15/2024,12/16/2024,12/17/2024,12/18/2024,12/19/2024,12/20/2024,12/21/2024,12/22/2024,12/23/2024,12/24/2024,12/25/2024,12/26/2024,12/27/2024,12/28/2024,12/29/2024,12/30/2024,12/31/2024,1/1/2025,1/2/2025,1/3/2025,1/4/2025,1/5/2025,1/6/2025,1/7/2025,1/8/2025,1/9/2025,1/10/2025,1/11/2025,1/12/2025,1/13/2025,1/14/2025,1/15/2025,1/16/2025,1/17/2025,1/18/2025,1/19/2025,1/20/2025,1/21/2025,1/22/2025,1/23/2025,1/24/2025,1/25/2025,1/26/2025,1/27/2025,1/28/2025,1/29/2025,1/30/2025,1/31/2025
1103-060907,9,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,25,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,
1103-060908,9,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1103-060910,9,6,2,28,,,,,,,,,,,14,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5,10,,,,,,1,11,,,,,,,12,,,,,,14,1,,
1103-060915,9,6,2,,,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-060921,9,6,2,,,,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,
1103-060925,9,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,25
1103-060926,9,6,2,,,,,,,,,,,,,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,,,1,1,,1,,,,,,1,,,,,,5,,,
1103-060930,9,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-060932,9,6,2,27,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,,10,,,
1103-060941,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,1,,
1103-060942,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1103-060951,9,6,2,,10,,5,,,,,,,,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,2,1,,1,2,,,,,6,1,2,,,,2,,,4,,,,,,3,,,
1103-060976,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-060998,9,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-060999,9,6,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-071004,10,7,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1103-071005,10,7,2,,,,,,,,,,,,12,20,,,,,,5,,,,,,,,,1,1,,,,,,,,,,,,,,9,,,,,,8,,,,,,,,2,,,,,,,,,2,,,,,,
1103-071007,10,7,2,10,,,,,,2,,,,,3,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,1,,1,,,
1103-071008,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
1103-071010,10,7,2,,,,,,,,1,,,,7,,,,,,,,,,,,,,25,,,,,1,,,,,,,,,,,5,,,,,1,,,,5,,,,,,,,,,10,1,1,,,3,,,,,,
1103-071015,10,7,2,,,,,,,,,,,,4,,,,,,,4,,,,,,,,,4,,,1,,1,,,,,,,5,,,4,,,,,,,,,,,,,,,,,,,,4,,,,,,8,,,
1103-071021,10,7,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,10,,,,,5,,1,,,,,,1,3,3,,,,,,2,,,,,4,1,,1,
1103-071025,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1103-071026,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,
1103-071030,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,
1103-071032,10,7,2,5,,,,,,,,,,,,,,,,,,,,,,1,,,,250,1,,,1,25,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,3,,,2,,,2,,,
1103-071041,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1103-071042,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,5,,,,,,,,,1,
1103-071051,10,7,2,,,,,,,,,,,,8,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,4,,,,,,2,,2,
1103-071076,10,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
1103-081204,12,8,2,,,,,,,,,25,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,16,,,,,,,20,,,,,,,,,,,,,2,,,
1103-081205,12,8,2,,,,,,,1,,,,,4,,10,,,,,11,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,7,,,,,,,9,,1,,,,9,,,
1103-081207,12,8,2,,1,,,,,2,,,,,16,,,,,,,4,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,2,,,,,10,,,,
1103-081208,12,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
1103-081210,12,8,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,1,,,,,,3,,,,,,,1,,,,,,,4,,,,,,,,,
1103-081215,12,8,2,,,,,10,,,,,,,,,,,,,,2,,,,,,,,,2,1,,,,,,5,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
1103-081221,12,8,2,1,,,,,,,,,,,1,,5,,,,,,2,,,,,,10,,,,,,,,,,,1,,,,1,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,,
1103-081225,12,8,2,,,,,1,,,,,,,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1103-081226,12,8,2,,,,,,,,,100,,,4,,5,,,,,4,2,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-081230,12,8,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-081232,12,8,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,
1103-081241,12,8,2,,,,,,,,,,,,,,3,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1103-081251,12,8,2,,,,,1,,,2,2,,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-081276,12,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,
1103-091304,13,9,2,,,,,,,,,,,,2,,5,,,,,4,,,,1,,,,,,,,,,,,,,3,,,3,,,,,,,,6,,,,,,,,,,,,,,,1,2,,,,,2,2,,
1103-091305,13,9,2,1,,,,,,,,3,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,,1,,,,,,,,,,,,2,,,,,,,
1103-091307,13,9,2,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,,,20,,,16,,,
1103-091310,13,9,2,,,,2,,,,,,,,,7,,,,,1,6,,,,,,,6,,1,,,,,,,,,,,,,,,13,,,,,,2,5,,,,,,,,,,,,,2,,,,,,10,25,,
1103-091315,13,9,2,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,
1103-091321,13,9,2,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,2,3,,,,,,,,,,1,,2,,,,,,,2,,,,,,,,,
1103-091325,13,9,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-091326,13,9,2,,,,,,,,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1103-091330,13,9,2,,,,,1,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-091332,13,9,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,7,,,,,,,8,,,,,,,12,,,,,,,,,
1103-091341,13,9,2,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,
1103-091351,13,9,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,,5,,2,,,,,7,,3,,3,,,,,
1103-091376,13,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-101504,15,10,2,,,,,,,,,,,,1,5,,,,,,,,,,11,,,,5,,,,,,,,,,,,,,1,,5,,,,,,1,,,,,5,,3,,2,,,,,8,,,2,,,11,,,
1103-101505,15,10,2,,,,1,,1,,4,,,,2,,3,,,,26,2,,,,,1,,,,,,,,2,,,,,,,,1,2,,,,,,,,2,,2,1,,,,,,13,,1,,3,,,,,,4,,1,,
1103-101507,15,10,2,,,,,,,8,,,,,2,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,5,,,,,,,8,,8,,,,,8,,,,,,,,,
1103-101508,15,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
1103-101510,15,11,3,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,
1103-101515,15,10,2,,,,,,,,,,,,,1,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,1,,,,,1,,1,,,,,1,5,5,,
1103-101521,15,10,2,,,,,,,,,,,2,4,,,,,,,2,,,,,,,,10,,,,,,6,,,,,,,,,,,,,,10,,2,,,,,,,1,,,,,,,3,,,,,,1,,,
1103-101525,15,10,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,
1103-101526,15,10,2,,,,,3,,,,5,,2,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
1103-101530,15,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-101532,15,10,2,,,,,5,,,,,,,,,,,1,,,,,,,,,3,,2,,,,,,,,,,,,,,3,,3,,,4,,,,,1,,,,,,,,,,,,2,,2,,,,3,,,
1103-101541,15,10,2,,,,,,1,,,,,4,,,,,,,3,,2,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
1103-101551,15,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
1103-101576,15,10,2,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103-121804,18,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,
1103-121805,18,12,2,,,,,10,5,,,,2,1,,,,,,,,,1,,,1,5,,,,,1,,,,,,1,,1,,,1,3,,,,,,,,,2,,,,,,3,,,,2,11,,10,,1,11,,,4,,,35
1103-121807,18,12,2,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
1103-121808,18,12,2,10,,,,,,2,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
