date,cpc,impressions
8/20/2022,16.97,951
8/21/2022,18.31,1003
8/22/2022,18.91,2286
8/23/2022,19.69,2335
8/24/2022,15.08,1651
8/25/2022,15.52,1314
8/26/2022,17.92,1365
8/27/2022,20.54,1106
8/28/2022,19.35,949
8/29/2022,17.26,1710
8/30/2022,16.08,2099
8/31/2022,15.25,2178
9/1/2022,17.22,2033
9/2/2022,17.13,1660
9/3/2022,18.35,1091
9/4/2022,17.01,1156
9/5/2022,17.49,1371
9/6/2022,19.59,2633
9/7/2022,18.61,2582
9/8/2022,18.37,1422
9/9/2022,16.16,1521
9/10/2022,21.25,1116
9/11/2022,20.19,929
9/12/2022,17.78,1115
9/13/2022,16.17,676
9/14/2022,17.97,755
9/15/2022,19.67,515
9/16/2022,21.66,522
9/17/2022,18.18,503
9/18/2022,18.98,730
9/19/2022,22.46,804
9/20/2022,18.82,854
9/21/2022,18.71,648
9/22/2022,19.01,822
9/23/2022,19.12,735
9/24/2022,18.34,696
9/25/2022,18.79,984
9/26/2022,21.33,2154
9/27/2022,21.18,905
9/28/2022,19.59,683
9/29/2022,18.67,256
9/30/2022,16.33,322
10/1/2022,13.82,529
10/2/2022,18.11,322
10/3/2022,17.02,366
10/4/2022,18.85,351
10/5/2022,12.17,446
10/6/2022,12.87,270
10/7/2022,13.62,110
10/8/2022,18.34,194
10/9/2022,19.91,120
10/10/2022,17.97,351
10/11/2022,18.85,407
10/12/2022,14.08,196
10/13/2022,15.94,248
10/14/2022,17.49,222
10/15/2022,17.85,130
10/16/2022,16.89,77
10/17/2022,15.82,175
10/18/2022,20.31,103
10/19/2022,21.96,52
10/20/2022,11.46,146
10/21/2022,8.95,201
10/22/2022,14.77,81
10/23/2022,10.66,138
10/24/2022,9.95,76
10/25/2022,15.97,27
10/26/2022,9.96,65
10/27/2022,7.58,310
10/28/2022,12.26,57
10/29/2022,7.90,56
10/30/2022,9.90,24
10/31/2022,12.87,34
11/1/2022,8.50,165
11/2/2022,10.33,136
11/3/2022,10.81,90
11/4/2022,10.38,109
11/5/2022,12.69,52
11/6/2022,18.41,34
11/7/2022,8.45,87
11/8/2022,15.12,83
11/9/2022,12.08,85
11/10/2022,10.71,38
11/11/2022,10.82,140
11/12/2022,8.84,179
11/13/2022,10.70,80
11/14/2022,10.86,44
11/15/2022,11.31,93
11/16/2022,10.27,81
11/17/2022,6.98,199
11/18/2022,10.61,143
11/19/2022,12.01,49
11/20/2022,8.50,100
11/21/2022,10.30,187
11/22/2022,10.88,133
11/23/2022,16.63,127
11/24/2022,12.19,23
11/25/2022,14.00,70
11/26/2022,8.36,210
11/27/2022,9.69,47
11/28/2022,11.88,107
11/29/2022,6.29,171
11/30/2022,12.28,46
12/1/2022,12.88,151
12/2/2022,8.03,210
12/3/2022,11.73,161
12/4/2022,12.24,107
12/5/2022,8.17,114
12/6/2022,10.94,133
12/7/2022,9.47,159
12/8/2022,7.53,113
12/9/2022,12.75,110
12/10/2022,12.13,89
12/11/2022,13.10,127
12/12/2022,9.66,1
12/13/2022,12.28,535
12/14/2022,13.63,259
12/15/2022,10.58,105
12/16/2022,12.38,103
12/17/2022,13.28,65
12/18/2022,12.99,61
12/19/2022,14.99,92
12/20/2022,10.79,230
12/21/2022,14.83,190
12/22/2022,11.17,108
12/23/2022,11.81,207
12/24/2022,14.84,136
12/25/2022,12.46,118
12/26/2022,18.92,130
12/27/2022,13.67,52
12/28/2022,16.17,112
12/29/2022,11.89,119
12/30/2022,16.20,62
12/31/2022,12.94,186
1/1/2023,16.34,54
1/2/2023,14.76,125
1/3/2023,14.49,128
1/4/2023,12.87,178
1/5/2023,15.01,154
1/6/2023,13.02,228
1/7/2023,16.81,139
1/8/2023,14.26,228
1/9/2023,14.06,155
1/10/2023,14.39,337
1/11/2023,12.04,304
1/12/2023,16.62,153
1/13/2023,14.03,374
1/14/2023,14.14,382
1/15/2023,10.86,330
1/16/2023,13.22,399
1/17/2023,13.13,428
1/18/2023,16.91,324
1/19/2023,16.61,463
1/20/2023,18.88,475
1/21/2023,16.94,415
1/22/2023,16.03,275
1/23/2023,15.27,745
1/24/2023,18.96,507
1/25/2023,16.15,618
1/26/2023,18.69,560
1/27/2023,21.13,367
1/28/2023,38.41,64
1/29/2023,28.07,239
1/30/2023,23.63,130
1/31/2023,22.20,155
2/1/2023,33.51,227
2/2/2023,22.92,267
2/3/2023,23.73,253
2/4/2023,30.46,220
2/5/2023,22.42,98
2/6/2023,25.85,379
2/7/2023,30.79,232
2/8/2023,21.84,146
2/9/2023,19.70,586
2/10/2023,14.92,215
2/11/2023,24.35,230
2/12/2023,28.74,181
2/13/2023,22.76,111
2/14/2023,21.84,110
2/15/2023,22.44,100
2/16/2023,14.96,355
2/17/2023,20.75,85
2/18/2023,19.83,333
2/19/2023,19.42,270
2/20/2023,15.21,144
2/21/2023,11.26,346
2/22/2023,18.10,147
2/23/2023,14.02,254
2/24/2023,16.20,327
2/25/2023,19.78,232
2/26/2023,23.40,115
2/27/2023,19.39,187
2/28/2023,20.28,222
3/1/2023,20.16,306
3/2/2023,18.39,225
3/3/2023,21.31,507
3/4/2023,36.62,312
3/5/2023,37.75,232
3/6/2023,25.86,432
3/7/2023,25.06,382
3/8/2023,18.39,877
3/9/2023,15.56,957
3/10/2023,20.03,543
3/11/2023,18.26,772
3/12/2023,23.00,474
3/13/2023,14.80,580
3/14/2023,10.64,642
3/15/2023,9.75,790
3/16/2023,14.34,663
3/17/2023,17.89,901
3/18/2023,23.38,819
3/19/2023,19.01,719
3/20/2023,18.89,1452
3/21/2023,18.99,1432
3/22/2023,21.32,1675
3/23/2023,20.74,1547
3/24/2023,19.07,1055
3/25/2023,21.49,947
3/26/2023,28.91,1257
3/27/2023,23.79,1857
3/28/2023,23.25,2119
3/29/2023,22.15,1481
3/30/2023,21.48,1177
3/31/2023,16.44,1072
4/1/2023,21.68,1133
4/2/2023,27.30,1021
4/3/2023,23.19,1513
4/4/2023,22.12,2306
4/5/2023,30.48,1032
4/6/2023,25.46,1253
4/7/2023,27.59,1275
4/8/2023,29.90,1238
4/9/2023,34.20,1091
4/10/2023,27.34,1445
4/11/2023,20.31,1527
4/12/2023,27.39,1503
4/13/2023,19.80,1481
4/14/2023,23.62,1275
4/15/2023,26.13,1301
4/16/2023,25.27,1146
4/17/2023,29.76,1485
4/18/2023,22.90,1324
4/19/2023,19.17,1163
4/20/2023,20.07,1131
4/21/2023,15.63,950
4/22/2023,21.58,1065
4/23/2023,23.58,1024
4/24/2023,17.24,1155
4/25/2023,13.84,1316
4/26/2023,17.25,1229
4/27/2023,17.31,1009
4/28/2023,17.53,1020
4/29/2023,22.97,860
4/30/2023,18.90,822
5/1/2023,21.32,1749
5/2/2023,22.02,1949
5/3/2023,15.69,1952
5/4/2023,15.53,1852
5/5/2023,17.54,2029
5/6/2023,23.14,1400
5/7/2023,27.27,1458
5/8/2023,15.44,1577
5/9/2023,17.63,1659
5/10/2023,18.00,1924
5/11/2023,18.01,1615
5/12/2023,17.99,1766
5/13/2023,24.62,1360
5/14/2023,34.69,1121
5/15/2023,20.70,1245
5/16/2023,16.22,1618
5/17/2023,18.92,1472
5/18/2023,24.67,1467
5/19/2023,21.38,1493
5/20/2023,27.65,1122
5/21/2023,29.36,1151
5/22/2023,18.87,1494
5/23/2023,19.85,1601
5/24/2023,20.47,1527
5/25/2023,19.59,1520
5/26/2023,24.57,1592
5/27/2023,25.29,1156
5/28/2023,25.93,972
5/29/2023,25.42,1073
5/30/2023,22.00,1031
5/31/2023,25.17,684
6/1/2023,6.60,374
6/8/2023,38.30,1346
6/9/2023,20.57,1743
6/10/2023,24.78,1688
6/11/2023,22.36,1215
6/12/2023,14.68,2088
6/13/2023,18.25,3079
6/14/2023,20.24,2825
6/15/2023,20.38,3364
6/16/2023,24.35,2630
6/17/2023,31.61,1928
6/18/2023,38.62,2092
6/19/2023,23.28,3227
6/20/2023,20.73,3205
6/21/2023,23.30,3712
6/22/2023,23.01,2862
6/23/2023,22.08,2825
6/24/2023,27.73,2586
6/25/2023,32.85,2756
6/26/2023,18.00,1987
6/27/2023,15.12,2492
6/28/2023,13.47,1874
6/29/2023,12.52,1809
6/30/2023,13.12,1860
7/1/2023,16.86,1517
7/2/2023,23.06,1390
7/3/2023,15.47,1966
7/4/2023,21.25,1162
7/5/2023,15.75,2070
7/6/2023,15.83,2093
7/7/2023,14.59,2076
7/8/2023,18.00,2072
7/9/2023,19.44,1359
7/10/2023,14.38,2055
7/11/2023,14.63,2397
7/12/2023,14.28,1762
7/13/2023,13.69,1797
7/14/2023,16.93,1220
7/15/2023,24.99,646
7/16/2023,27.69,955
7/17/2023,12.57,941
7/18/2023,19.12,962
7/19/2023,15.33,847
7/20/2023,17.41,827
7/21/2023,16.67,843
7/22/2023,25.91,681
7/23/2023,21.38,621
7/24/2023,15.99,789
7/25/2023,17.43,1090
7/26/2023,16.87,939
7/27/2023,18.32,916
7/28/2023,19.22,722
