date,cpc
10/19/2022,21.96
10/20/2022,11.46
10/21/2022,8.95
10/22/2022,14.77
10/23/2022,10.66
10/24/2022,9.95
10/25/2022,15.97
10/26/2022,9.96
10/27/2022,7.58
10/28/2022,12.26
10/29/2022,7.90
10/30/2022,9.90
10/31/2022,12.87
11/1/2022,8.50
11/2/2022,10.33
11/3/2022,10.81
11/4/2022,10.38
11/5/2022,12.69
11/6/2022,18.41
11/7/2022,8.45
11/8/2022,15.12
11/9/2022,12.08
11/10/2022,10.71
11/11/2022,10.82
11/12/2022,8.84
11/13/2022,10.70
11/14/2022,10.86
11/15/2022,11.31
11/16/2022,10.27
11/17/2022,6.98
11/18/2022,10.61
11/19/2022,12.01
11/20/2022,8.50
11/21/2022,10.30
11/22/2022,10.88
11/23/2022,16.63
11/24/2022,12.19
11/25/2022,14.00
11/26/2022,8.36
11/27/2022,9.69
11/28/2022,11.88
11/29/2022,6.29
11/30/2022,12.28
12/1/2022,12.88
12/2/2022,8.03
12/3/2022,11.73
12/4/2022,12.24
12/5/2022,8.17
12/6/2022,10.94
12/7/2022,9.47
12/8/2022,7.53
12/9/2022,12.75
12/10/2022,12.13
12/11/2022,13.10
12/12/2022,9.66
12/13/2022,12.28
12/14/2022,13.63
12/15/2022,10.58
12/16/2022,12.38
12/17/2022,13.28
12/18/2022,12.99
12/19/2022,14.99
12/20/2022,10.79
12/21/2022,14.83
12/22/2022,11.17
12/23/2022,11.81
12/24/2022,14.84
12/25/2022,12.46
12/26/2022,18.92
12/27/2022,13.67
12/28/2022,16.17
12/29/2022,11.89
12/30/2022,16.20
12/31/2022,12.94
1/1/2023,16.34
1/2/2023,14.76
1/3/2023,14.49
1/4/2023,12.87
1/5/2023,15.01
1/6/2023,13.02
1/7/2023,16.81
1/8/2023,14.26
1/9/2023,14.06
1/10/2023,14.39
1/11/2023,12.04
1/12/2023,16.62
1/13/2023,14.03
1/14/2023,14.14
1/15/2023,10.86
1/16/2023,13.22
1/17/2023,13.13
1/18/2023,16.91
1/19/2023,16.61
1/20/2023,18.88
1/21/2023,16.94
1/22/2023,16.03
1/23/2023,15.27
1/24/2023,18.96
1/25/2023,16.15
1/26/2023,18.69
1/27/2023,21.13
1/28/2023,38.41
